102,https://pressbooks.online.ucf.edu/ant2000/,http://schema.org,Book,Exploring Our World: Biological and Archaeological Principles of General Anthropology,en,http://pressbooks.online.ucf.edu/app/uploads/sites/102/2019/10/cover-1.jpg,Person,Michael L Callaghan,CreativeWork,https://creativecommons.org/licenses/by-nc-sa/4.0/,CC BY-NC-SA (Attribution NonCommercial ShareAlike)
105,https://pressbooks.online.ucf.edu/artisticexpressionportfolio2019fa/,http://schema.org,Book,LatinX Cultural Expression Portfolio ,en,https://pressbooks.online.ucf.edu/app/uploads/sites/105/2019/11/Screen-Shot-2019-11-01-at-4.28.47-PM.png,Person,The Students of HUM3460,CreativeWork,https://creativecommons.org/licenses/by/4.0/,CC BY (Attribution)
106,https://pressbooks.online.ucf.edu/eventexperience/,http://schema.org,Book,Event Experience,en,http://pressbooks.online.ucf.edu/app/uploads/sites/106/2019/09/cover-2-in-english-1.png,Person,Maksim Godovykh,CreativeWork,https://creativecommons.org/licenses/by-nc/4.0/,CC BY-NC (Attribution NonCommercial)
110,https://pressbooks.online.ucf.edu/hrafnkell/,http://schema.org,Book,The Story of Hrafnkell,en,http://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,Person,John Raible,CreativeWork,https://creativecommons.org/publicdomain/zero/1.0/,CC0 (Creative Commons Zero)
111,https://pressbooks.online.ucf.edu/contingencytables/,http://schema.org,Book,Contingency Tables,en,http://pressbooks.online.ucf.edu/app/uploads/sites/111/2019/10/Screen-Shot-2019-10-30-at-1.36.16-AM.png,Person,Edgard Maboudou,CreativeWork,https://choosealicense.com/no-license/,All Rights Reserved
112,https://pressbooks.online.ucf.edu/lit2110/,http://schema.org,Book,UCF Introduction to World Literature Anthology,en,http://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,Person,Farrah Cato,CreativeWork,https://creativecommons.org/licenses/by/4.0/,CC BY (Attribution)
113,https://pressbooks.online.ucf.edu/lit2120/,http://schema.org,Book,UCF Anthology of World Literature 1650-present,en,https://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,Person,Kathleen Hohenleitner,CreativeWork,https://creativecommons.org/licenses/by/4.0/,CC BY (Attribution)
114,https://pressbooks.online.ucf.edu/dartylecturenotestest/,http://schema.org,Book,Lecture Notes Test AMH2020,en,https://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,Person,Amy Darty,CreativeWork,https://choosealicense.com/no-license/,All Rights Reserved
115,https://pressbooks.online.ucf.edu/testfunmartha/,http://schema.org,Book,Test Martha,en,http://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,Person,James Paradiso,CreativeWork,https://choosealicense.com/no-license/,All Rights Reserved
117,https://pressbooks.online.ucf.edu/culturalexpressionportfolio2019fa/,http://schema.org,Book,Environmental and Cultural Expression Portfolio,en,https://pressbooks.online.ucf.edu/app/uploads/sites/117/2019/11/Screen-Shot-2019-11-01-at-12.38.37-AM.png,Person,The Students of HUM2020,CreativeWork,https://creativecommons.org/licenses/by/4.0/,CC BY (Attribution)
